observation_id,comparison,comparison_family,rat_left,rat_right,rat_pair,model_run,procrustes_disparity,aligned_rmse,aligned_sse_over_target_ss
81,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,1,0.0993618897803982,0.31521721047620194,0.0993618897803982
82,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,2,0.3625759340173198,0.602142785406684,0.36257593401731986
83,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,3,0.15814136155443873,0.39766991532480656,0.15814136155443884
84,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,4,0.13667160171291204,0.3696912248254103,0.13667160171291204
85,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,5,0.2275597313257721,0.4770322120420926,0.22755973132577204
86,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,6,0.32986376465247585,0.5743376747632667,0.3298637646524758
87,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,7,0.1572280260784302,0.39651989367297846,0.15722802607843014
88,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,8,0.2188760284922973,0.46784188407227634,0.21887602849229726
89,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,9,0.14392907451818113,0.37937985518235035,0.1439290745181811
90,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,10,0.14168744700616956,0.3764139304092896,0.14168744700616953
91,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,11,0.1765102255273503,0.4201312003735861,0.17651022552735035
92,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,12,0.17403447960472085,0.41717439950783264,0.1740344796047208
93,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,13,0.40103577382404765,0.6332738537347391,0.40103577382404765
94,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,14,0.1306188229011584,0.36141226169176716,0.13061882290115837
95,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,15,0.08506499256841023,0.29165903477932986,0.08506499256841035
96,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,16,0.1964092507025415,0.4431808329593479,0.1964092507025414
97,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,17,0.4364219875764528,0.6606224243669395,0.4364219875764528
98,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,18,0.169366736398313,0.4115419011453307,0.16936673639831312
99,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,19,0.2003169524308814,0.4475678188061351,0.2003169524308814
100,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,0,0.24628144797524418,0.4962675165424835,0.24628144797524412
101,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,1,0.10075762877933522,0.31742342191359346,0.1007576287793352
102,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,2,0.3154933489198682,0.5616879462120121,0.3154933489198682
103,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,3,0.42292914076396243,0.6503300244983024,0.42292914076396254
104,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,4,0.18017034307967647,0.4244647724837439,0.18017034307967647
105,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,5,0.10913821497008289,0.3303607346070093,0.10913821497008284
106,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,6,0.15358100817176304,0.39189412877939767,0.15358100817176307
107,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,7,0.08643950864779748,0.2940059670275374,0.0864395086477974
108,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,8,0.21854132880211052,0.4674840412271958,0.21854132880211052
109,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,9,0.2684246680875838,0.518097160856517,0.26842466808758364
110,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,10,0.09887214000658663,0.3144394059379113,0.09887214000658656
111,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,11,0.15288999462611205,0.3910115019102534,0.1528899946261121
112,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,12,0.2153061384371276,0.4640109249113942,0.2153061384371275
113,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,13,0.31440143200900295,0.5607151077053328,0.3144014320090029
114,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,14,0.3402721847476501,0.5833285392878101,0.3402721847476502
115,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,15,0.055321228787465364,0.23520465298855264,0.055321228787465475
116,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,16,0.16295268754214481,0.4036739867047972,0.16295268754214476
117,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,17,0.4414148952332138,0.6643906194650958,0.4414148952332138
118,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,18,0.04625184839682822,0.21506242906846432,0.04625184839682824
119,A_vs_B,A_vs_B,rat0222,rat0313,rat0222__rat0313,19,0.22693993049898825,0.47638212655282125,0.22693993049898825
120,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,0,0.06711172009234355,0.25905929840934777,0.06711172009234351
121,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,1,0.17550498067690098,0.4189331458322447,0.17550498067690082
122,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,2,0.14323726844784646,0.3784669978318408,0.14323726844784654
123,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,3,0.40711157624787836,0.6380529572440506,0.40711157624787836
