observation_id,rat_left,rat_right,rat_pair,comparison,comparison_family,model_run,rReal
279,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,19,0.5030303030303029
280,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,0,0.7939393939393938
281,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,1,0.8060606060606059
282,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,2,0.7818181818181817
283,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,3,0.4787878787878787
284,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,4,0.8666666666666665
285,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,5,0.6121212121212121
286,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,6,0.6848484848484848
287,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,7,0.7575757575757575
288,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,8,0.7333333333333332
289,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,9,0.309090909090909
290,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,10,0.5030303030303029
291,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,11,0.09090909090909088
292,rat0222,rat0816,rat0222__rat0816,B_vs_A,A_vs_B,12,0.6727272727272726
